symbol,date,open,high,low,close,volume
"BMV","2018-05-22","9.83","9.83","9.83","9.83","100"
"BMV","2020-02-19","9.83","9.83","9.83","9.83","2000"
"BMV","2020-12-28","9.88","9.88","9.88","9.88","300"
"BMV","2021-01-04","9.88","9.88","9.88","9.88","500"
"BMV","2021-01-05","8.39","8.39","8.39","8.39","3100"
"BMV","2021-01-13","7.21","7.21","7.21","7.21","200"
"BMV","2021-01-18","6.42","6.42","6.42","6.42","300"
"BMV","2021-01-28","5.53","5.53","5.53","5.53","200"
"BMV","2021-03-10","6.32","6.32","6.32","6.32","200"
"BMV","2021-03-11","6.91","6.91","6.91","6.91","200"
"BMV","2021-03-16","7.8","7.8","7.8","7.8","100"
"BMV","2021-03-17","7.9","7.9","7.9","7.9","2800"
"BMV","2021-03-26","8.89","8.89","8.89","8.89","500"
"BMV","2021-04-06","9.88","9.88","9.88","9.88","100"
"BMV","2021-04-12","9.88","9.88","9.88","9.88","200"
"BMV","2021-05-07","8.39","8.39","8.39","8.39","3500"
"BMV","2021-06-22","5.43","5.43","5.43","5.43","100"
"BMV","2021-06-25","5.92","5.92","5.92","5.92","100"
"BMV","2021-08-19","3.56","3.56","3.56","3.56","100"
"BMV","2021-08-24","4.05","4.05","4.05","4.05","100"
"BMV","2021-08-25","4.64","4.64","4.64","4.64","100"
"BMV","2021-08-27","5.33","5.33","5.33","5.33","100"
"BMV","2021-08-31","4.54","4.54","4.54","4.54","100"
"BMV","2021-09-15","5.13","5.13","5.13","5.13","100"
"BMV","2021-09-16","5.83","5.83","5.83","5.83","100"
"BMV","2021-09-17","6.62","6.62","6.62","6.62","100"
"BMV","2021-10-26","9.18","9.18","9.18","9.18","400"
"BMV","2021-10-27","10.47","10.47","10.47","10.47","100"
"BMV","2021-11-01","11.95","11.95","11.95","11.95","100"
"BMV","2021-11-02","13.73","13.73","13.73","13.73","100"
"BMV","2022-02-07","13.81","13.81","13.81","13.81","1400"
"BMV","2022-04-04","13.81","13.81","13.81","13.81","500"
"BMV","2022-04-05","14.81","14.81","14.81","14.81","1012"
"BMV","2022-04-08","13.81","13.81","13.81","13.81","5000"
"BMV","2022-04-12","14.31","14.31","14.31","14.31","5500"
"BMV","2022-04-13","14.31","14.31","14.31","14.31","1000"
"BMV","2022-04-15","14.41","14.41","14.41","14.41","2000"
"BMV","2022-04-18","14.41","14.41","14.41","14.41","2000"
"BMV","2022-04-19","14.91","14.91","14.91","14.91","3000"
"BMV","2022-11-03","20.77","20.77","20.77","20.77","400"
"BMV","2022-11-07","23.85","23.85","17.69","17.69","200"
"BMV","2022-12-16","29.1","29.1","29.1","29.1","100"
