symbol,date,open,high,low,close,volume
"KHW","2018-12-21","11.59","11.59","11.59","11.59","100"
"KHW","2018-12-24","13.32","13.32","13.32","13.32","200"
"KHW","2018-12-25","15.27","15.27","15.27","15.27","100"
"KHW","2018-12-26","17.5","17.5","17.5","17.5","100"
"KHW","2018-12-27","18","18","18","18","1600"
"KHW","2019-01-02","18","18","18","18","35900"
"KHW","2019-01-15","17.28","17.28","17.28","17.28","100"
"KHW","2019-02-19","19.44","19.44","19.44","19.44","100"
"KHW","2019-03-06","19.44","19.44","19.44","19.44","37500"
"KHW","2019-04-22","19.44","19.44","19.44","19.44","200"
"KHW","2019-04-24","16.92","16.92","16.92","16.92","1000"
"KHW","2019-04-25","17","17","17","17","100"
"KHW","2019-05-09","17.07","17.07","14.47","14.47","600"
"KHW","2019-05-10","13.47","13.47","13.47","13.47","500"
"KHW","2019-05-17","11.52","11.52","11.52","11.52","200"
"KHW","2019-05-20","13.25","13.25","13.25","13.25","300"
"KHW","2019-05-24","15.2","15.2","15.2","15.2","1000"
"KHW","2019-06-06","15.84","15.84","15.84","15.84","100"
"KHW","2019-07-17","15.84","16.56","15.84","16.56","6400"
"KHW","2019-07-18","16.56","16.56","16.56","16.56","400"
"KHW","2019-09-05","12.31","12.31","12.31","12.31","100"
"KHW","2019-10-14","14.13","14.13","14.13","14.13","100"
"KHW","2019-10-23","13.6","13.6","13.6","13.6","100"
"KHW","2019-11-19","15.49","15.49","15.49","15.49","100"
"KHW","2020-03-02","16.62","16.62","16.62","16.62","100"
"KHW","2020-03-25","14.35","14.35","14.35","14.35","200"
"KHW","2020-12-08","14.39","14.39","14.39","14.39","100"
"KHW","2022-05-18","14.46","14.46","14.46","14.46","200"
