symbol,date,open,high,low,close,volume
"BTU","2016-08-23","5.28","5.28","5.28","5.28","10000"
"BTU","2016-08-24","5.28","5.28","5.28","5.28","10000"
"BTU","2016-09-22","5.28","5.28","5.28","5.28","15000"
"BTU","2016-09-23","5.28","5.28","5.28","5.28","3000"
"BTU","2016-09-28","6.05","6.05","6.05","6.05","1000"
"BTU","2016-09-30","6.93","6.93","6.93","6.93","1000"
"BTU","2017-04-04","6.72","6.72","6.72","6.72","7900"
"BTU","2017-04-13","6.21","6.21","5.97","6.21","700"
"BTU","2017-04-19","6","6","6","6","5900"
"BTU","2017-05-03","5.17","5.17","5.17","5.17","100"
"BTU","2017-05-09","4.4","4.4","4.4","4.4","100"
"BTU","2017-05-10","5.02","5.02","5.02","5.02","1000"
"BTU","2017-05-12","4.29","5.74","4.29","5.74","200"
"BTU","2017-05-15","4.29","4.29","4.29","4.29","100"
"BTU","2017-05-18","3.66","3.66","3.66","3.66","100"
"BTU","2017-05-22","3.15","3.15","3.15","3.15","100"
"BTU","2017-05-24","2.69","2.69","2.69","2.69","100"
"BTU","2017-05-25","3.09","3.09","3.09","3.09","1000"
"BTU","2017-05-26","3.55","3.55","3.55","3.55","100"
"BTU","2017-05-29","4.07","4.07","4.07","4.07","100"
"BTU","2017-05-31","4.64","4.64","4.64","4.64","100"
"BTU","2017-06-01","5.32","5.32","5.32","5.32","100"
"BTU","2017-06-02","6.07","6.07","6.07","6.07","100"
"BTU","2017-06-05","5.21","5.21","5.21","5.21","100"
"BTU","2017-06-07","4.47","4.47","4.47","4.47","100"
"BTU","2017-06-14","3.84","5.09","3.84","5.09","200"
"BTU","2017-06-15","5.09","5.09","5.09","5.09","100"
"BTU","2017-06-19","5.84","5.84","5.84","5.84","100"
"BTU","2017-06-21","4.98","4.98","4.98","4.98","100"
"BTU","2017-06-23","4.24","4.24","4.24","4.24","100"
"BTU","2017-06-26","3.61","4.87","3.61","4.87","200"
"BTU","2017-06-27","3.78","3.78","3.78","3.78","100"
"BTU","2017-06-30","4.29","4.29","4.29","4.29","100"
"BTU","2017-07-03","3.66","4.92","3.66","4.92","200"
"BTU","2017-07-04","4.29","4.29","4.29","4.29","100"
"BTU","2017-07-05","4.88","4.88","4.24","4.24","200"
"BTU","2017-07-06","5.24","5.24","5.24","5.24","100"
"BTU","2017-07-07","6","6","6","6","100"
"BTU","2017-07-10","5.12","5.12","5.12","5.12","100"
"BTU","2017-07-11","4.35","5.24","4.35","5.24","200"
"BTU","2017-07-12","4.12","4.12","4.12","4.12","100"
"BTU","2017-07-18","4.71","4.71","4.71","4.71","100"
"BTU","2017-07-25","4.12","4.18","4.12","4.18","200"
"BTU","2017-07-27","4.76","4.76","4.76","4.76","100"
"BTU","2017-07-28","4.06","5.47","4.06","5.47","500"
"BTU","2017-07-31","5.88","5.88","5.88","5.88","200"
"BTU","2017-08-02","5","5","5","5","100"
"BTU","2017-08-03","5.71","5.71","5.71","5.71","100"
"BTU","2017-08-07","4.88","4.88","4.88","4.88","100"
"BTU","2017-08-09","4.18","5.59","4.18","5.59","300"
"BTU","2017-08-15","4.35","5.59","4.35","5.59","300"
"BTU","2017-08-18","5.94","5.94","5.94","5.94","100"
"BTU","2017-08-21","5.94","5.94","5.94","5.94","100"
"BTU","2017-08-22","5.06","5.06","5.06","5.06","100"
"BTU","2017-08-24","4.35","4.35","4.35","4.35","100"
"BTU","2017-08-29","3.71","3.71","3.71","3.71","100"
"BTU","2017-08-31","3.23","3.23","3.23","3.23","100"
"BTU","2017-09-06","3.71","3.71","3.71","3.71","100"
"BTU","2017-09-11","4.24","4.24","4.24","4.24","100"
"BTU","2017-09-15","3.65","4.82","3.65","4.82","200"
"BTU","2017-09-19","3.65","3.65","3.65","3.65","100"
"BTU","2017-10-09","3.12","4.18","3.12","4.18","200"
"BTU","2017-10-12","3.12","3.12","3.12","3.12","100"
"BTU","2017-10-24","3.53","3.53","3.53","3.53","100"
"BTU","2017-11-08","3","4.06","3","4.06","200"
"BTU","2017-11-09","4.06","4.06","4.06","4.06","100"
"BTU","2017-11-10","4.65","4.65","4.65","4.65","200"
"BTU","2017-11-13","5.29","5.29","5.29","5.29","100"
"BTU","2017-11-14","6.06","6.06","6.06","6.06","600"
"BTU","2017-11-16","5.18","5.18","5.18","5.18","100"
"BTU","2017-11-17","4.41","4.41","4.41","4.41","100"
"BTU","2017-11-20","3.82","3.82","3.82","3.82","100"
"BTU","2018-01-03","5.18","5.35","5.18","5.35","200"
"BTU","2018-01-08","4.53","4.53","4.53","4.53","100"
"BTU","2018-01-10","3.88","3.88","3.88","3.88","100"
"BTU","2018-01-15","3.41","3.41","3.41","3.41","100"
"BTU","2018-02-01","3.88","3.88","3.88","3.88","100"
"BTU","2018-03-19","5.41","5.41","5.41","5.41","100"
"BTU","2018-03-20","6.18","6.18","6.18","6.18","300"
"BTU","2018-03-27","5.29","5.29","5.29","5.29","100"
"BTU","2018-03-30","4.58","5.54","4.58","5.54","200"
"BTU","2018-04-12","4.33","4.33","4.33","4.33","100"
"BTU","2018-05-15","4.27","4.27","4.27","4.27","1100"
"BTU","2018-06-14","4.9","4.9","4.9","4.9","100"
"BTU","2018-06-15","4.33","4.33","4.33","4.33","100"
"BTU","2018-06-19","4.97","4.97","4.97","4.97","100"
"BTU","2018-06-20","4.58","4.58","4.58","4.58","100"
"BTU","2018-06-28","5.22","5.22","5.22","5.22","100"
"BTU","2018-07-03","4.78","5.99","4.78","5.99","200"
"BTU","2018-07-04","6.18","6.18","6.18","6.18","100"
"BTU","2018-07-05","5.41","5.41","5.41","5.41","100"
"BTU","2018-07-06","5.09","5.09","5.09","5.09","100"
"BTU","2018-07-09","5.22","5.22","5.22","5.22","100"
"BTU","2018-07-10","5.35","5.35","5.35","5.35","100"
"BTU","2018-07-11","5.29","5.29","5.29","5.29","100"
"BTU","2018-07-25","5.65","5.65","5.65","5.65","100"
"BTU","2018-08-22","5.45","5.45","5.45","5.45","100"
"BTU","2018-10-03","7.62","7.62","7.62","7.62","100"
"BTU","2018-10-04","6.5","6.5","6.5","6.5","100"
"BTU","2018-10-05","7.42","7.42","7.42","7.42","200"
"BTU","2018-10-08","6.43","6.43","6.43","6.43","100"
"BTU","2018-10-09","7.35","7.35","7.35","7.35","100"
"BTU","2018-10-10","6.43","6.43","6.43","6.43","100"
"BTU","2018-10-11","6.24","7.35","6.24","7.35","200"
"BTU","2018-10-12","6.57","6.57","6.57","6.57","200"
"BTU","2018-12-07","7.22","7.22","7.22","7.22","100"
"BTU","2018-12-10","6.17","7.29","6.17","7.29","200"
"BTU","2018-12-12","7.75","7.75","7.75","7.75","100"
"BTU","2018-12-13","6.89","6.89","6.89","6.89","100"
"BTU","2018-12-14","5.91","7.22","5.91","5.97","1400"
"BTU","2018-12-18","5.97","5.97","5.97","5.97","100"
"BTU","2018-12-19","6.04","6.83","6.04","6.83","1200"
"BTU","2018-12-20","6.43","6.43","6.43","6.43","100"
"BTU","2018-12-21","6.96","6.96","6.89","6.89","400"
"BTU","2018-12-27","6.7","6.7","6.7","6.7","100"
"BTU","2018-12-28","6.63","6.96","6.63","6.96","300"
"BTU","2019-01-02","6.63","6.96","6.63","6.96","200"
"BTU","2019-01-04","6.57","6.57","5.84","5.84","200"
"BTU","2019-01-07","6.83","6.96","6.83","6.96","200"
"BTU","2019-01-08","6.04","6.04","6.04","6.04","100"
"BTU","2019-01-09","6.89","6.89","6.89","6.89","100"
"BTU","2019-02-20","6.54","6.54","6.54","6.54","100"
"BTU","2019-02-22","6.89","6.89","6.89","6.89","500"
"BTU","2019-02-28","6.47","6.47","6.47","6.47","100"
"BTU","2019-03-06","6.89","6.89","6.89","6.89","100"
"BTU","2019-03-18","6.54","6.54","6.54","6.54","100"
"BTU","2019-03-19","6.47","6.89","6.47","6.89","200"
"BTU","2019-03-26","5.7","5.7","5.7","5.7","100"
"BTU","2019-04-01","6.54","6.54","6.33","6.33","1200"
"BTU","2019-04-05","7.39","7.39","7.39","7.39","100"
"BTU","2019-04-08","6.33","6.33","6.33","6.33","100"
"BTU","2019-04-10","7.25","7.25","7.25","7.25","100"
"BTU","2019-04-11","8.23","8.23","8.23","8.23","100"
"BTU","2019-04-12","7.03","7.03","7.03","7.03","100"
"BTU","2019-04-17","7.88","7.88","7.88","7.88","100"
"BTU","2019-04-18","6.89","7.53","6.89","7.53","200"
"BTU","2019-05-02","7.6","7.6","7.6","7.6","600"
"BTU","2019-05-10","6.47","7.32","6.47","7.32","200"
"BTU","2019-05-13","7.39","7.39","7.39","7.39","100"
"BTU","2019-05-27","8.49","8.49","8.49","8.49","200"
"BTU","2019-05-28","7.39","7.39","7.39","7.39","100"
"BTU","2019-06-06","7.02","7.02","7.02","7.02","200"
"BTU","2019-06-07","8.05","8.05","8.05","8.05","100"
"BTU","2019-06-10","6.87","6.87","6.87","6.87","100"
"BTU","2019-06-12","7.83","7.83","7.83","7.83","200"
"BTU","2019-06-13","6.72","6.72","6.72","6.72","100"
"BTU","2019-06-14","7.68","7.68","7.68","7.68","200"
"BTU","2019-06-17","7.09","7.09","7.09","7.09","100"
"BTU","2019-06-18","7.46","7.46","7.39","7.39","4500"
"BTU","2019-06-21","8.42","8.42","8.42","8.42","100"
