symbol,date,open,high,low,close,volume
"GIC","2020-11-06","17.94","17.94","15.16","16.68","83500"
"GIC","2020-11-09","15.7","15.7","15.07","15.07","44400"
"GIC","2020-11-10","15.61","15.61","15.07","15.07","6600"
"GIC","2020-11-11","14.35","14.35","13.63","13.63","50900"
"GIC","2020-11-12","13.63","13.63","13.1","13.46","52900"
"GIC","2020-11-13","13.54","14.8","13.54","14.17","73300"
"GIC","2020-11-16","14.35","14.8","14.35","14.62","25800"
"GIC","2020-11-17","14.71","14.8","14.08","14.8","17200"
"GIC","2020-11-18","15.16","15.43","14.62","15.43","69700"
"GIC","2020-11-19","15.43","16.15","15.43","16.15","57700"
"GIC","2020-11-20","16.95","17.76","16.95","17.49","82600"
"GIC","2020-11-23","17.49","18.12","17.04","18.12","162000"
"GIC","2020-11-24","17.49","17.67","17.49","17.58","18600"
"GIC","2020-11-25","17.85","17.85","16.59","16.68","20300"
"GIC","2020-11-26","16.24","16.32","16.24","16.32","8700"
"GIC","2020-11-27","17.04","17.04","16.24","16.95","16700"
"GIC","2020-11-30","17.49","17.49","16.15","16.5","16500"
"GIC","2020-12-01","16.59","17.31","16.5","17.04","38900"
"GIC","2020-12-02","16.86","17.49","16.77","17.22","27900"
"GIC","2020-12-03","17.22","17.67","17.22","17.4","42100"
"GIC","2020-12-04","16.59","17.4","16.59","17.4","2000"
"GIC","2020-12-07","16.86","17.49","16.86","17.49","24300"
"GIC","2020-12-08","17.4","17.4","17.04","17.4","8100"
"GIC","2020-12-09","16.95","17.22","16.95","17.04","17800"
"GIC","2020-12-10","17.04","17.13","17.04","17.04","22500"
"GIC","2020-12-11","17.04","17.04","16.86","17.04","10500"
"GIC","2020-12-14","17.04","17.04","17.04","17.04","800"
"GIC","2020-12-15","16.95","16.95","16.77","16.77","8000"
"GIC","2020-12-16","16.68","17.31","16.68","17.04","1500"
"GIC","2020-12-17","16.86","16.95","16.68","16.68","3300"
"GIC","2020-12-18","16.86","17.04","16.86","17.04","9200"
"GIC","2020-12-21","17.04","17.04","16.68","17.04","17200"
"GIC","2020-12-22","16.86","17.04","16.86","17.04","82300"
"GIC","2020-12-23","17.04","17.94","16.86","17.85","197700"
"GIC","2020-12-24","17.94","18.39","17.04","17.49","27800"
"GIC","2020-12-25","17.13","18.48","17.13","17.94","134100"
"GIC","2020-12-28","17.94","19.73","17.49","18.93","189300"
"GIC","2020-12-29","19.29","19.55","18.75","18.84","33400"
"GIC","2020-12-30","18.66","18.66","18.12","18.39","41300"
"GIC","2020-12-31","18.39","18.39","17.94","18.39","69700"
"GIC","2021-01-04","18.66","20.18","18.39","20.18","313500"
"GIC","2021-01-05","20.18","22.16","20.18","22.16","299600"
"GIC","2021-01-06","22.43","24.22","22.34","23.05","221400"
"GIC","2021-01-07","22.96","23.5","21.62","23.32","130200"
"GIC","2021-01-08","23.32","24.13","21.89","21.89","248000"
"GIC","2021-01-11","21.89","23.05","21.89","22.96","156900"
"GIC","2021-01-12","22.96","24.67","22.96","24.22","299000"
"GIC","2021-01-13","24.4","26.19","24.4","25.3","157000"
"GIC","2021-01-14","25.03","25.3","24.22","24.67","73500"
"GIC","2021-01-15","24.67","25.39","23.95","24.67","156100"
"GIC","2021-01-18","24.67","25.12","24.04","24.94","110700"
"GIC","2021-01-19","25.12","25.12","22.52","22.6","177800"
"GIC","2021-01-20","22.6","22.87","21.08","22.87","43200"
"GIC","2021-01-21","23.32","23.41","22.43","22.96","71300"
"GIC","2021-01-22","23.05","23.05","22.07","22.69","71600"
"GIC","2021-01-25","22.78","22.78","22.07","22.52","63800"
"GIC","2021-01-26","22.6","22.6","21.53","21.53","78900"
"GIC","2021-01-27","21.62","21.71","20.45","21.08","65800"
"GIC","2021-01-28","20.18","20.18","19.02","19.02","101600"
"GIC","2021-01-29","17.22","20.9","17.13","19.82","32800"
"GIC","2021-02-01","19.82","20.18","18.75","18.84","33100"
