symbol,date,open,high,low,close,volume
"DLT","2015-11-20","7.57","7.57","7.57","7.57","3000"
"DLT","2015-11-23","7.57","7.57","7.57","7.57","1500"
"DLT","2015-11-24","7.57","7.57","7.57","7.57","2600"
"DLT","2015-11-26","7.57","7.57","7.57","7.57","1000"
"DLT","2015-11-27","7.57","7.57","7.57","7.57","2000"
"DLT","2015-12-17","7.81","7.81","7.81","7.81","300"
"DLT","2016-01-12","7.81","7.81","7.81","7.81","500"
"DLT","2016-02-05","7.81","7.81","7.81","7.81","500"
"DLT","2016-03-04","7.81","7.81","7.81","7.81","5000"
"DLT","2016-04-19","7.81","7.81","7.81","7.81","3000"
"DLT","2016-08-17","8.53","8.53","8.53","8.53","1000"
"DLT","2016-12-29","5.17","5.17","5.17","5.17","2400"
"DLT","2017-01-05","5.95","5.95","5.95","5.95","1000"
"DLT","2017-01-12","6.82","6.82","6.82","6.82","500"
"DLT","2017-01-19","7.08","7.08","7.08","7.08","500"
"DLT","2017-04-21","4.29","4.29","4.29","4.29","100"
"DLT","2017-09-11","6","6","6","6","200"
"DLT","2017-09-12","6.88","6.88","6.88","6.88","100"
"DLT","2017-10-13","7.8","7.86","7.8","7.86","2500"
"DLT","2017-10-16","6.7","6.7","6.7","6.7","100"
"DLT","2017-12-07","6.7","6.7","5.89","6.7","100"
"DLT","2018-04-13","6.7","6.7","6.7","6.7","100"
"DLT","2018-09-07","6.57","6.57","6.57","6.57","3800"
"DLT","2018-10-24","3.94","3.94","3.94","3.94","300"
"DLT","2018-12-12","4.53","4.53","4.53","4.53","1000"
"DLT","2019-04-17","6.31","6.31","6.31","6.31","100"
"DLT","2019-04-18","7.23","7.23","7.23","7.23","2000"
"DLT","2019-04-22","8.28","8.28","8.28","8.28","100"
"DLT","2019-04-23","9.46","9.46","9.46","9.46","100"
"DLT","2019-04-26","10.84","10.84","10.84","10.84","1700"
"DLT","2019-05-06","9.27","9.27","9.27","9.27","100"
"DLT","2019-05-07","10.64","10.64","8.02","8.15","500"
"DLT","2019-05-08","9.79","9.79","9.79","9.79","100"
"DLT","2019-05-09","9.13","9.13","9.13","9.13","100"
"DLT","2019-05-10","10.45","10.45","10.45","10.45","200"
"DLT","2019-05-13","9.4","9.4","9.4","9.4","100"
"DLT","2019-05-14","8.02","9.4","8.02","8.02","1400"
"DLT","2019-05-21","9.59","9.59","8.48","8.48","500"
"DLT","2019-05-22","9.92","9.92","9.92","9.92","100"
"DLT","2019-05-23","11.37","11.37","11.37","11.37","100"
"DLT","2019-05-24","9.86","9.86","9.86","9.86","100"
"DLT","2019-05-27","9.46","9.46","9.46","9.46","100"
"DLT","2019-05-28","9.46","9.46","9.46","9.46","100"
"DLT","2019-05-29","9.2","9.2","9.2","9.2","100"
"DLT","2019-05-30","8.94","8.94","8.94","8.94","100"
"DLT","2019-06-03","10.25","10.25","10.25","10.25","100"
"DLT","2019-06-04","11.76","11.76","11.76","11.76","100"
"DLT","2019-06-05","13.47","13.47","13.47","13.47","100"
"DLT","2019-06-06","15.05","15.05","15.05","15.05","100"
"DLT","2019-06-07","17.28","17.28","17.28","17.28","100"
"DLT","2019-06-10","19.84","19.84","14.72","17.15","1000"
"DLT","2019-06-12","18.66","18.66","13.8","13.8","800"
"DLT","2019-06-14","16.95","16.95","12.62","12.62","900"
"DLT","2019-06-20","15.11","15.11","11.17","11.17","300"
"DLT","2019-06-21","12.48","12.48","12.48","12.48","9300"
"DLT","2019-06-24","12.48","12.48","12.48","12.48","7000"
"DLT","2019-06-25","10.64","10.64","10.64","10.64","100"
"DLT","2019-06-26","9.33","9.33","9.33","9.33","100"
"DLT","2019-06-27","10.71","10.71","10.71","10.71","100"
"DLT","2019-07-03","12.29","12.29","12.29","12.29","100"
"DLT","2019-07-04","12.48","12.48","12.29","12.29","6000"
"DLT","2019-07-10","11.24","11.24","11.24","11.24","100"
"DLT","2019-07-15","9.92","9.92","9.92","9.92","100"
"DLT","2019-07-18","9.33","9.33","9.33","9.33","100"
"DLT","2019-07-25","8.87","8.87","8.87","8.87","100"
"DLT","2019-07-31","10.19","10.19","10.19","10.19","1500"
"DLT","2019-08-02","10.19","10.19","10.19","10.19","100"
"DLT","2019-08-06","9.53","9.53","9.53","9.53","200"
"DLT","2019-08-09","10.91","10.91","10.91","10.91","100"
"DLT","2019-08-12","12.48","12.48","12.48","12.48","1700"
"DLT","2019-08-15","10.64","10.64","10.64","10.64","100"
"DLT","2019-08-16","12.22","12.22","12.22","12.22","200"
"DLT","2019-08-21","10.45","10.45","10.45","10.45","100"
"DLT","2019-08-26","8.94","8.94","8.94","8.94","100"
"DLT","2019-09-10","7.88","7.88","7.88","7.88","100"
"DLT","2019-10-02","9","9","9","9","100"
"DLT","2019-12-18","8.18","8.18","8.18","8.18","100"
"DLT","2020-02-19","9.37","9.37","9.37","9.37","100"
"DLT","2020-03-13","8.04","8.04","8.04","8.04","100"
"DLT","2020-03-25","6.92","6.92","6.92","6.92","100"
"DLT","2020-06-26","6.92","6.92","6.92","6.92","100"
"DLT","2020-10-23","6.92","6.92","6.92","6.92","100"
"DLT","2020-11-05","7.88","7.88","7.88","7.88","100"
"DLT","2020-11-30","9.02","9.02","9.02","9.02","100"
"DLT","2021-05-13","8.23","8.23","8.23","8.23","100"
"DLT","2021-09-17","11.49","11.49","11.49","11.49","100"
"DLT","2021-11-04","11.58","11.58","11.58","11.58","100"
"DLT","2021-11-30","13.3","13.3","13.3","13.3","1000"
"DLT","2021-12-03","15.22","15.22","15.22","15.22","1100"
"DLT","2021-12-06","17.32","17.32","17.32","17.32","100"
"DLT","2021-12-08","19.81","19.81","19.81","19.81","100"
"DLT","2021-12-10","22.69","22.69","22.69","22.69","100"
"DLT","2021-12-14","26.04","26.04","19.34","25.94","400"
"DLT","2021-12-17","20.68","20.68","20.68","20.68","100"
"DLT","2021-12-20","19.43","19.43","19.34","19.34","300"
"DLT","2021-12-22","22.21","22.21","22.21","22.21","100"
"DLT","2021-12-23","18.95","18.95","18.95","18.95","1100"
"DLT","2021-12-29","16.18","16.18","16.18","16.18","100"
"DLT","2021-12-30","18.57","18.57","18.57","18.57","1200"
"DLT","2022-01-05","21.35","21.35","21.35","21.35","100"
"DLT","2022-01-06","21.44","21.44","21.44","21.44","200"
"DLT","2022-03-03","18.95","18.95","18.95","18.95","2000"
"DLT","2022-03-04","18.95","18.95","18.95","18.95","146"
"DLT","2022-03-09","18.95","18.95","18.95","18.95","1400"
"DLT","2022-03-11","18.95","18.95","18.95","18.95","31"
"DLT","2022-04-05","19.14","21.73","19.14","21.73","1200"
"DLT","2022-05-10","17.9","17.9","17.9","17.9","500"
"DLT","2022-08-12","20","20","20","20","2000"
"DLT","2022-08-16","19.8","19.8","19.8","19.8","1000"
"DLT","2022-11-17","19","19","19","19","3400"
"DLT","2022-11-30","18","18","18","18","1400"
"DLT","2022-12-13","15.4","15.4","15.4","15.4","300"
"DLT","2022-12-15","13.4","13.4","13.4","13.4","100"
"DLT","2022-12-26","13.5","13.5","13.5","13.5","300"
"DLT","2022-12-29","15","15","15","15","3100"
"DLT","2023-01-31","15","15","15","15","20700"
