symbol,date,open,high,low,close,volume,year,month,week,weekday
"DPD","2021-01-29","13.5","13.5","13.5","13.5","100","2021","01","5","Friday"
"DPD","2021-02-01","15.5","15.5","15.5","15.5","100","2021","02","6","Monday"
"DPD","2021-02-02","16","16","16","16","200","2021","02","6","Tuesday"
"DPD","2021-02-03","16","16","16","16","600","2021","02","6","Wednesday"
"DPD","2021-02-04","16","16","16","16","500","2021","02","6","Thursday"
"DPD","2021-03-18","13.6","13.6","13.6","13.6","100","2021","03","12","Thursday"
"DPD","2021-05-20","18.3","18.3","18","18","4500","2021","05","21","Thursday"
"DPD","2021-06-02","15.4","15.4","15.4","15.4","500","2021","06","23","Wednesday"
"DPD","2021-06-03","13.1","13.1","13.1","13.1","600","2021","06","23","Thursday"
"DPD","2021-06-07","15","15","15","15","100","2021","06","24","Monday"
"DPD","2021-06-09","17.2","17.2","17.2","17.2","100","2021","06","24","Wednesday"
"DPD","2021-06-10","16.6","16.6","16.5","16.5","1300","2021","06","24","Thursday"
"DPD","2021-06-11","17","17","17","17","100","2021","06","24","Friday"
"DPD","2021-06-14","18.5","19.5","18.5","19.5","900","2021","06","25","Monday"
"DPD","2021-06-15","19.8","19.8","19.8","19.8","1000","2021","06","25","Tuesday"
"DPD","2021-06-16","20.3","20.3","20.3","20.3","200","2021","06","25","Wednesday"
"DPD","2021-06-18","20.3","20.3","20.3","20.3","300","2021","06","25","Friday"
"DPD","2021-06-21","19","19","19","19","800","2021","06","26","Monday"
"DPD","2021-07-05","21.8","21.8","20.5","20.5","300","2021","07","28","Monday"
"DPD","2021-08-03","18.5","18.5","18.5","18.5","200","2021","08","32","Tuesday"
"DPD","2021-08-06","18","18","18","18","400","2021","08","32","Friday"
"DPD","2021-09-27","18","18","18","18","100","2021","09","40","Monday"
"DPD","2021-09-29","20.7","20.7","20.7","20.7","1100","2021","09","40","Wednesday"
"DPD","2021-10-27","23.8","23.8","23.8","23.8","100","2021","10","44","Wednesday"
"DPD","2021-10-29","23.9","23.9","23.9","23.9","1300","2021","10","44","Friday"
"DPD","2021-11-01","24","24","24","24","100","2021","11","45","Monday"
"DPD","2022-11-15","23.5","23.5","23.5","23.5","100","2022","11","46","Tuesday"
"DPD","2022-11-18","23.5","23.5","23.5","23.5","100","2022","11","46","Friday"
