symbol,date,open,high,low,close,volume
"E12","2020-06-12","7.1","7.1","7.1","7.1","200"
"E12","2020-06-15","6.1","6.1","6.1","6.1","100"
"E12","2020-06-17","7","7","7","7","100"
"E12","2020-06-18","8","8","8","8","100"
"E12","2020-11-09","10","10","10","10","100"
"E12","2022-03-22","6","14","6","14","2300"
"E12","2022-03-23","15.7","15.7","15.5","15.7","6200"
"E12","2022-03-24","18","18","18","18","1100"
"E12","2022-03-25","20.7","20.7","20.7","20.7","300"
"E12","2022-03-28","23.8","23.8","23.8","23.8","4000"
"E12","2022-03-29","27.3","27.3","27.3","27.3","1500"
"E12","2022-03-30","31.3","31.3","31.3","31.3","10200"
"E12","2022-03-31","35.9","35.9","35.9","35.9","8300"
"E12","2022-04-01","41.2","41.2","30.6","30.6","2000"
"E12","2022-04-20","27","27","27","27","100"
"E12","2022-04-21","23","23","23","23","100"
"E12","2022-04-29","19.6","23","19.6","23","1300"
"E12","2022-05-06","17.1","17.1","17.1","17.1","300"
"E12","2022-05-12","14.6","14.6","14.6","14.6","300"
"E12","2022-05-13","12.5","12.5","12.5","12.5","400"
"E12","2022-05-16","10.7","10.7","10.7","10.7","1000"
"E12","2022-05-17","9.1","9.1","9.1","9.1","1800"
"E12","2022-05-18","7.8","8","7.8","8","4000"
"E12","2022-05-19","7","7","6.7","6.7","3300"
"E12","2022-05-20","6.2","6.3","6.2","6.3","1300"
"E12","2022-05-23","7.1","7.1","7.1","7.1","100"
"E12","2022-05-24","8.1","8.1","8.1","8.1","3500"
"E12","2022-05-25","8.2","9.3","8.2","9.3","3400"
"E12","2022-05-26","10.4","10.4","10.4","10.4","11600"
"E12","2022-05-27","11.9","11.9","11.8","11.9","11500"
"E12","2022-05-30","12","13.5","11.9","13.5","8000"
"E12","2022-05-31","13.5","14.4","13.5","14.4","11500"
"E12","2022-06-01","16.3","16.4","16","16.4","4000"
"E12","2022-06-02","18.8","18.8","18.8","18.8","5900"
"E12","2022-06-03","21.6","21.6","16","16","15800"
"E12","2022-06-06","16","16","14.9","14.9","7300"
"E12","2022-06-07","14.9","15","13.3","15","4700"
"E12","2022-06-08","11.7","14.6","11.7","12","2400"
"E12","2022-06-09","13.6","13.9","13.6","13.9","7100"
"E12","2022-06-10","15.8","15.8","14","14.3","21700"
"E12","2022-06-13","12.8","13","12.8","12.8","2300"
"E12","2022-06-14","14.6","14.6","10.9","10.9","1500"
"E12","2022-06-15","11.6","11.7","11.6","11.6","7900"
"E12","2022-06-16","11.6","12","9.9","9.9","10300"
"E12","2022-06-17","9.5","9.5","9.5","9.5","2400"
"E12","2022-06-20","9.5","9.5","8.1","8.1","4000"
"E12","2022-06-22","8.2","8.4","8.2","8.3","2300"
"E12","2022-06-23","9.5","9.5","9.5","9.5","1600"
"E12","2022-06-24","9.5","10.8","9.5","10.8","1700"
"E12","2022-06-27","9.6","10.6","8.2","8.2","600"
"E12","2022-06-28","9.5","9.5","9.5","9.5","200"
"E12","2022-06-29","8.2","9.4","8.1","9.4","8900"
"E12","2022-07-01","7.1","8.1","7.1","8.1","900"
"E12","2022-07-04","8","8","8","8","200"
"E12","2022-07-05","7.3","8","7.3","8","2300"
"E12","2022-07-06","6.5","8.1","6.4","8.1","1800"
"E12","2022-07-07","6.4","8.1","6.4","8.1","500"
"E12","2022-07-08","8","8","8","8","100"
"E12","2022-07-11","7.7","7.7","7.7","7.7","200"
"E12","2022-07-12","6.6","8","6.6","8","1300"
"E12","2022-07-13","6.8","7.5","6.3","7.5","2500"
"E12","2022-07-14","7","8","7","8","4400"
"E12","2022-07-15","7.5","8","7.5","8","1600"
"E12","2022-07-18","7.5","7.9","7.5","7.9","300"
"E12","2022-07-19","7.5","7.5","7.5","7.5","700"
"E12","2022-07-20","7.8","7.8","7.4","7.6","1300"
"E12","2022-07-21","8.7","8.7","7.7","7.7","700"
"E12","2022-07-22","7.7","8","7.5","8","3200"
"E12","2022-07-25","7.4","7.4","7.4","7.4","200"
"E12","2022-07-26","8.3","8.3","7.5","7.9","4300"
"E12","2022-07-27","8.2","8.2","8.2","8.2","300"
"E12","2022-07-28","8.2","8.2","8","8","1200"
"E12","2022-07-29","8.1","8.1","7.2","7.2","600"
"E12","2022-08-01","8.3","8.3","7.5","7.5","1100"
"E12","2022-08-02","7.7","7.7","7.5","7.5","3400"
"E12","2022-08-03","7.9","7.9","7.5","7.9","3600"
"E12","2022-08-04","8.7","8.7","8","8.2","1982"
"E12","2022-08-05","8.2","8.4","7.4","7.6","3900"
"E12","2022-08-08","8.5","8.5","7.7","7.7","1300"
"E12","2022-08-10","8.1","8.1","8.1","8.1","100"
"E12","2022-08-11","8","8","8","8","100"
"E12","2022-08-15","8.5","8.5","7.4","7.6","1200"
"E12","2022-08-16","7.7","7.7","7.7","7.7","1412"
"E12","2022-08-17","8","8","8","8","100"
"E12","2022-08-18","6.8","7.5","6.8","7.5","400"
"E12","2022-08-19","6.6","7.7","6.6","7.4","1100"
"E12","2022-08-22","6.6","7","6.6","6.6","4700"
"E12","2022-08-23","7.1","7.1","6.8","6.9","400"
"E12","2022-08-24","7.4","7.4","6.8","7.3","1300"
"E12","2022-08-25","8","8","7.9","7.9","300"
"E12","2022-08-26","7","7.5","7","7.5","5400"
"E12","2022-08-29","6.6","7.2","6.6","7.2","4400"
"E12","2022-08-30","7.4","7.4","6.9","7.4","500"
"E12","2022-08-31","7","7.3","7","7.3","400"
"E12","2022-09-05","7.5","7.5","6.9","7.2","2800"
"E12","2022-09-06","6.9","7.2","6.9","7.2","600"
"E12","2022-09-07","6.9","6.9","6.9","6.9","200"
"E12","2022-09-08","6.7","6.7","6.6","6.6","1000"
"E12","2022-09-09","6.7","6.9","6.6","6.8","2600"
"E12","2022-09-12","6.9","6.9","6.8","6.8","500"
"E12","2022-09-13","7.9","7.9","7","7","1000"
"E12","2022-09-14","7.3","7.5","7.3","7.5","4300"
"E12","2022-09-15","6.8","7","6.8","6.9","2000"
"E12","2022-09-16","7.4","7.4","6.6","6.6","3900"
"E12","2022-09-19","6.6","7","6.1","6.1","2400"
"E12","2022-09-20","7","7","6.6","7","300"
"E12","2022-09-21","6.9","6.9","6.8","6.9","1400"
"E12","2022-09-22","6.1","6.8","6.1","6.8","400"
"E12","2022-09-23","6.9","6.9","6.5","6.5","400"
"E12","2022-09-26","6.1","6.8","6","6.8","700"
"E12","2022-09-27","6.6","6.6","6.4","6.6","900"
"E12","2022-09-28","6.9","6.9","6.9","6.9","100"
"E12","2022-09-29","6.9","6.9","6.9","6.9","100"
"E12","2022-09-30","6","6.7","5.9","6.7","1100"
"E12","2022-10-03","6.9","6.9","6.6","6.6","1400"
"E12","2022-10-04","6.9","6.9","6.5","6.6","700"
"E12","2022-10-05","6.7","6.7","6.7","6.7","100"
"E12","2022-10-06","5.7","6.5","5.7","6.5","200"
"E12","2022-10-07","6.3","6.3","6.3","6.3","100"
"E12","2022-10-10","6.6","6.6","5.5","6.3","1400"
"E12","2022-10-11","5.3","5.3","5.3","5.3","100"
"E12","2022-10-12","5.5","6","5.5","5.9","2000"
"E12","2022-10-13","5.5","6.1","5.5","5.7","1100"
"E12","2022-10-14","5.7","6","5.7","6","500"
"E12","2022-10-17","6.4","6.4","5.5","6.2","800"
"E12","2022-10-18","4.9","6.1","4.9","6","2100"
"E12","2022-10-19","6.4","6.4","5.8","6.1","1000"
"E12","2022-10-20","5.1","6.1","5.1","6.1","500"
"E12","2022-10-21","6.3","6.3","6.3","6.3","200"
"E12","2022-10-24","5.5","5.5","5.5","5.5","7500"
"E12","2022-10-25","5","5.4","5","5.4","4800"
"E12","2022-10-26","5","5.5","5","5.5","300"
"E12","2022-10-27","5.5","5.5","5.5","5.5","100"
"E12","2022-10-28","5.5","5.6","5.5","5.6","200"
"E12","2022-10-31","4.8","5.5","4.8","5.5","300"
"E12","2022-11-01","4.6","5.1","4.6","5.1","500"
"E12","2022-11-03","4.3","5.2","4.3","5.2","1100"
"E12","2022-11-04","4.2","4.2","4.2","4.2","100"
"E12","2022-11-07","4.8","4.8","4.8","4.8","400"
"E12","2022-11-08","5.5","5.5","4.8","5.5","4000"
"E12","2022-11-09","4.6","5.4","4.6","5.4","800"
"E12","2022-11-10","4.5","5.7","4.5","5.7","1500"
"E12","2022-11-11","4.2","5","4.2","5","900"
"E12","2022-11-14","4.2","4.7","4.2","4.6","1700"
"E12","2022-11-15","4.2","4.2","4.2","4.2","800"
"E12","2022-11-16","4.8","4.8","4.2","4.8","1400"
"E12","2022-11-17","5.4","5.4","4.2","4.9","2300"
"E12","2022-11-18","4.1","4.8","4.1","4.8","500"
"E12","2022-11-21","4.6","4.8","4.6","4.8","200"
"E12","2022-11-22","4.2","4.6","4.2","4.6","2000"
"E12","2022-11-23","4.7","4.9","4.7","4.9","8400"
"E12","2022-11-24","5.6","5.6","5","5","2800"
"E12","2022-11-25","5","5","4.5","5","2000"
"E12","2022-11-28","4.9","5.1","4.2","5.1","4200"
"E12","2022-11-29","5","5","5","5","100"
"E12","2022-11-30","5.7","5.7","5","5","1200"
"E12","2022-12-01","5.5","5.5","4.8","5","2600"
"E12","2022-12-02","5","5.3","5","5","2700"
"E12","2022-12-05","5.4","5.4","5.4","5.4","100"
"E12","2022-12-06","5.7","5.7","4.7","4.7","14800"
"E12","2022-12-07","4.2","4.9","4.2","4.9","200"
"E12","2022-12-08","4.2","5","4.2","5","900"
"E12","2022-12-09","4.9","5","4.9","5","200"
"E12","2022-12-12","4.6","5","4.6","5","200"
"E12","2022-12-13","5","5","5","5","100"
"E12","2022-12-14","4.3","5","4.3","5","200"
"E12","2022-12-15","4.2","5.1","4.2","5.1","800"
"E12","2022-12-16","4.9","5","4.9","5","300"
"E12","2022-12-19","4.4","5","4.4","5","300"
"E12","2022-12-20","4.3","5","4.3","5","300"
"E12","2022-12-21","5","5","5","5","100"
"E12","2022-12-22","4.3","4.3","4.3","4.3","100"
"E12","2022-12-23","4.9","4.9","4.5","4.9","500"
"E12","2022-12-26","5","5","4.2","4.2","200"
"E12","2022-12-27","4.2","4.8","4","4.8","1100"
"E12","2022-12-28","4.6","4.6","4.6","4.6","200"
"E12","2022-12-29","4.3","4.6","4.3","4.6","4100"
"E12","2022-12-30","4.7","5.1","4.7","5.1","21600"
"E12","2023-01-03","5.1","5.1","5.1","5.1","100"
"E12","2023-01-04","4.5","4.5","4.5","4.5","500"
"E12","2023-01-05","4.3","4.6","4.2","4.2","19600"
"E12","2023-01-06","4.3","4.5","4.2","4.5","2700"
"E12","2023-01-09","4.8","4.8","4.8","4.8","100"
"E12","2023-01-10","5.5","5.5","4.7","4.9","19500"
"E12","2023-01-11","4.3","4.9","4.3","4.9","600"
"E12","2023-01-12","4.4","4.8","4.4","4.8","1100"
"E12","2023-01-13","4.4","4.5","4.4","4.5","1100"
"E12","2023-01-19","4.3","4.7","4.3","4.6","1000"
"E12","2023-01-30","4.6","4.6","4.6","4.6","400"
"E12","2023-01-31","4.6","4.8","4.6","4.8","200"
"E12","2023-02-01","4.8","4.9","4.8","4.9","4300"
"E12","2023-02-02","4.9","4.9","4.9","4.9","100"
"E12","2023-02-03","4.9","4.9","4.8","4.8","1300"
"E12","2023-02-06","4.9","5","4.9","5","1900"
"E12","2023-02-09","5.4","5.4","5","5","200"
"E12","2023-02-10","5.3","5.3","4.5","4.9","1200"
"E12","2023-02-13","5.1","5.1","4.6","4.9","2200"
"E12","2023-02-14","5","5","5","5","300"
"E12","2023-02-15","4.8","4.8","4.8","4.8","300"
"E12","2023-02-17","5.1","5.1","5.1","5.1","200"
