symbol,date,open,high,low,close,volume
"AMP","2017-01-12","21.18","21.18","21.18","21.18","10100"
"AMP","2017-01-13","24.34","24.34","24.34","24.34","9000"
"AMP","2017-01-16","25.87","25.87","23.86","23.86","13000"
"AMP","2017-01-17","21.56","21.56","20.89","20.89","11000"
"AMP","2017-01-18","19.17","19.17","18.69","18.69","3500"
"AMP","2017-01-19","16.29","16.29","16.29","16.29","1000"
"AMP","2017-01-23","18.69","18.69","18.69","18.69","100"
"AMP","2017-01-25","21.47","21.47","21.47","21.47","100"
"AMP","2017-02-06","24.63","24.63","24.63","24.63","100"
"AMP","2017-02-07","20.99","20.99","20.99","20.99","1000"
"AMP","2017-02-08","24.05","24.05","24.05","24.05","100"
"AMP","2017-02-09","20.51","23.96","20.51","23.96","1100"
"AMP","2017-02-10","17.82","17.82","17.73","17.73","5000"
"AMP","2017-02-14","20.32","20.32","20.32","20.32","100"
"AMP","2017-02-16","17.34","17.34","17.34","17.34","5200"
"AMP","2017-02-21","14.85","14.85","14.85","14.85","100"
"AMP","2017-02-24","13.13","13.13","13.13","13.13","200"
"AMP","2017-03-02","11.21","11.21","11.21","11.21","100"
"AMP","2017-03-07","12.84","12.84","12.84","12.84","100"
"AMP","2017-03-08","14.76","14.76","14.76","14.76","100"
"AMP","2017-03-14","12.55","12.55","12.55","12.55","100"
"AMP","2017-03-17","10.83","10.83","10.83","10.83","100"
"AMP","2017-03-20","10.54","10.54","10.54","10.54","100"
"AMP","2017-03-23","10.54","10.54","10.54","10.54","100"
"AMP","2017-03-24","9.01","9.01","9.01","9.01","100"
"AMP","2017-03-27","10.35","10.35","10.35","10.35","100"
"AMP","2017-03-28","9.01","9.01","8.82","9.01","100"
"AMP","2017-03-29","10.35","10.35","10.35","10.35","100"
"AMP","2017-03-30","11.88","11.88","11.88","11.88","100"
"AMP","2017-03-31","13.61","13.61","13.61","13.61","100"
"AMP","2017-04-04","15.62","15.62","15.62","15.62","100"
"AMP","2017-04-05","13.32","13.32","13.32","13.32","200"
"AMP","2017-04-07","14.38","14.38","14.38","14.38","100"
"AMP","2017-04-11","14.38","14.85","14.38","14.85","200"
"AMP","2017-04-12","14.95","14.95","14.95","14.95","100"
"AMP","2017-04-13","17.06","17.15","17.06","17.15","300"
"AMP","2017-04-19","14.57","14.57","14.57","14.57","100"
"AMP","2017-04-24","12.46","12.46","12.46","12.46","100"
"AMP","2017-05-29","14.28","14.28","14.28","14.28","300"
"AMP","2017-06-02","16.29","16.39","16.29","16.39","300"
"AMP","2017-06-07","18.78","18.78","18.78","18.78","600"
